time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	13	Well, I just want to start when I was, when my grandfather come on a ship, and he land in Dulac, in Dulac, in Terrebonne Parish.	Transcript
14	19	And he didn't go back on the ship, he stayed there and he married my grandmother.	Transcript
20	30	Which, then, my, my, that was my grandfather, then my grandmother was a Spanish and my grandfather was Italian.	Transcript
0		This personal narrative was collected by Joseph Mele sometime between 1975 and 1980.	Context
